District,Latitude,Longitude
Central Area,1.3869,103.8008
Marine Parade,1.3013,103.9049
Bishan,1.3504,103.8488
Ang Mo Kio ,1.3717,103.8476
Bedok,1.3247,103.9324
Bukit Batok,1.35,103.7493
Bukit Merah,1.2827,103.8187
Bukit Timah,1.3547,103.7764
Changi,1.3556,103.975
Choa Chu Kang,1.3851,103.745
Clementi,1.3144,103.7652
Geylang,1.3206,103.8869
Hougang,1.3726,103.8937
Jurong East,1.3295,103.7383
Jurong West,1.3523,103.7113
Kallang,1.3241,103.8705
Mandai,1.4252,103.8158
Pasir Ris,1.3724,103.9495
Punggol,1.3985,103.9079
Queenstown,1.2988,103.804
Sembawang,1.4482,103.8195
Sengkang,1.3893,103.8995
Serangoon,1.3534,103.8724
Tampines,1.3525,103.9446
Toa Payoh ,1.3315,103.8495
Woodlands,1.436,103.7861
Yishun,1.4157,103.839
